,corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited,Unnamed: 0
0,nciw,100.0,1359.0,1.0,0.0,
1,lsid,68.0,282.0,14.0,0.0,
2,pwls,71.0,949.0,40.0,1.0,
3,bqlx,686.0,3782.0,103.0,0.0,
4,zmei,45.0,655.0,7.0,0.0,
5,wosl,0.0,18.0,21.0,1.0,
6,xcvb,189.0,961.0,18.0,1.0,
7,dfgh,16.0,1028.0,33.0,0.0,
8,ngrd,9.0,45.0,1.0,1.0,
9,xful,0.0,67.0,14.0,1.0,
10,kshe,48.0,986.0,22.0,1.0,
11,qqqq,52.0,650.0,11.0,1.0,
12,corp,1090.0,2452.0,9.0,0.0,
13,ekci,6.0,88.0,90.0,1.0,
14,dosk,99.0,390.0,99.0,1.0,
15,endi,75.0,800.0,81.0,1.0,
16,gudj,255.0,1687.0,2.0,0.0,
17,abcd,78.0,1024.0,12.0,1.0,
18,asdf,14.0,2145.0,20.0,0.0,
19,xyzz,182.0,3891.0,35.0,0.0,
20,acme,101.0,10983.0,2.0,1.0,
21,qwer,0.0,118.0,42.0,1.0,
22,tyui,929.0,1992.0,1.0,0.0,
23,zxcv,19.0,455.0,8.0,1.0,
24,hjkl,94.0,868.0,3.0,1.0,
25,lmno,81.0,1401.0,10.0,0.0,
